phenotype_id,phenotype_name,ltc_id,ltc_name,sex,ltc_type,body_system,code_type,code,description
MNDS,Anterior horn cell disease,UMND,Unspecified anterior horn cell disease,either,physical,neurological,icd9cm,,
MULT,Multiple sclerosis,MULT,Multiple sclerosis,either,physical,neurological,icd9cm,,
MYAS,Myasthenia gravis,MYAS,Myasthenia gravis,either,physical,neurological,icd9cm,,
MYLO,Myelodysplastic and myeloproliferative disorders,MPDS,Myeloproliferative disorders,either,physical,haematological,icd9cm,,
MYLO,Myelodysplastic and myeloproliferative disorders,MYDS,Myelodysplastic syndromes,either,physical,haematological,icd9cm,,
MYLO,Myelodysplastic and myeloproliferative disorders,UMYP,Unspecified myelodysplastic and myeloproliferative disorders,either,physical,haematological,icd9cm,,
NDGD,Neurodegenerative diseases,CJDS,Creutzfeldt-Jakob disease,either,physical,neurological,icd9cm,,
NDGD,Neurodegenerative diseases,HUNT,Huntington disease,either,physical,neurological,icd9cm,,
NDGD,Neurodegenerative diseases,PMLE,Progressive multifocal leukoencephalopathy,either,physical,neurological,icd9cm,,
OBCD,Obsessive compulsive disorder,OBCD,Obsessive compulsive disorder,either,mental,mental health,icd9cm,,
OBES,Obesity,OBES,Obesity,either,physical,metabolic,icd9cm,,
OPOM,Osteoporosis and osteomalacia,OPOM,Osteoporosis and osteomalacia,either,physical,rheumatological,icd9cm,,
OSTE,Osteoarthritis and degenerative joint disease,OAES,Osteoarthritis (excluding spine),either,physical,rheumatological,icd9cm,,
