phenotype_id,phenotype_name,ltc_id,ltc_name,sex,ltc_type,body_system,code_type,code,description
VERT,Chronic peripheral vertiginous disorders,LABY,Related labyrinthine disorders,either,physical,"ear, nose and throat",icd9cm,,
VERT,Chronic peripheral vertiginous disorders,MENI,M̩ni̬re's disease,either,physical,"ear, nose and throat",icd9cm,,
VERT,Chronic peripheral vertiginous disorders,UVRT,Unspecified chronic vertigo,either,physical,"ear, nose and throat",icd9cm,,
VISU,Blindness and significant visual impairment,VISU,Blindness and significant visual impairment,either,physical,ophthalmological,icd9cm,,
VTET,Venous thromboembolism and thrombophilia,CLOT,Deep venous thrombosis,either,physical,haematological,icd9cm,,
VTET,Venous thromboembolism and thrombophilia,PEMB,Pulmonary embolism,either,physical,haematological,icd9cm,,
VTET,Venous thromboembolism and thrombophilia,TPIA,Thrombophilia and other hypercoagulable states,either,physical,haematological,icd9cm,,
VTVF,Ventricular arrhythmia,VFIB,Ventricular fibrillation,either,physical,cardiovascular,icd9cm,,
VTVF,Ventricular arrhythmia,VTAC,Ventricular tachycardia,either,physical,cardiovascular,icd9cm,,
VTVF,Ventricular arrhythmia,VUNS,Unspecified ventricular arrhythmia,either,physical,cardiovascular,icd9cm,,
